Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Attrition,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
36,2.0,599,24,3,4,42,3,4,2596,5099,1,13,2,1,10,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35,1.0,921,8,3,1,46,3,1,2899,10778,1,17,4,1,4,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
32,1.0,718,26,3,3,80,3,4,4627,16495,0,17,4,2,4,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
38,1.0,1488,2,3,3,40,3,1,5347,13384,3,14,3,0,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,1.0,1017,5,4,2,37,3,1,19033,19805,1,13,3,0,31,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
27,1.0,566,2,3,3,56,3,2,4197,7103,5,11,4,0,6,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
34,1.0,944,10,4,2,36,3,1,1281,16900,1,13,1,0,1,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
40,1.0,1009,2,3,4,74,3,4,3067,12916,2,12,4,1,6,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,2.0,1297,6,3,4,43,1,4,6439,21221,8,13,1,1,18,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
25,1.0,806,9,1,3,82,3,3,2741,7950,1,15,3,1,9,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,1.0,885,8,3,2,68,3,3,2691,13586,1,21,3,1,10,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
29,1.0,694,28,3,3,65,3,3,8628,13939,0,11,4,0,10,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
